name,taxon_id,observation_uuid
Aglaoapis tridentata,987143,b52a245e-c542-40cb-9d7d-8dbbee8c3c8a
Aglaoapis tridentata,987143,3d306f3e-1d97-41c0-8e5a-2f78eee1c77c
Aglaoapis tridentata,987143,a4bd0c4d-6199-4732-8a41-bcf7c651c910
Aglaoapis tridentata,987143,cf56298d-a17d-49dd-9a47-d129f0dc5bcc
Aglaoapis tridentata,987143,c97de0f6-4073-496a-ae28-4a02ef95ff24
Aglaoapis tridentata,987143,f1f8981c-7d6f-428d-9047-06192dfbad02
Aglaoapis tridentata,987143,a49270e2-6293-4efc-bc74-6554324b1e35
Amegilla albigena,418561,f930128f-3d93-49f6-b3e8-040a595a1df1
Amegilla albigena,418561,a827e03c-eb8a-4f6f-88ea-d41cc172ca20
Amegilla albigena,418561,45afb1be-f9cf-4d8b-9760-ad0b71189a8c
Amegilla albigena,418561,d8a75330-26a5-48bf-9b06-9fd4d2f9a916
Amegilla albigena,418561,3847a22b-dd81-4da0-92ef-c6c5fd74860d
Amegilla albigena,418561,ec2f5d49-fdf9-42bc-9a06-32edcdef4b82
Amegilla albigena,418561,86752b21-d209-48f6-8390-9860f1c2d0e6
Amegilla albigena,418561,cbe581fb-e8a4-4207-8161-f5cdc5ad0a17
Amegilla albigena,418561,c7fde1c0-cc7c-4663-a96b-1429001a0c84
Amegilla albigena,418561,5bc1e66c-c4a0-4ec8-bbe9-823f325f7921
Amegilla albigena,418561,51741fc1-f7c1-41ba-bcb0-e97bb9d46334
Amegilla albigena,418561,947097d4-d6cc-4d13-9eab-d82b4debd621
Amegilla albigena,418561,2bee22b6-e4cd-4356-bd40-0392792ee82c
Amegilla albigena,418561,50202a30-961d-4628-a98d-e46177817ccb
Amegilla albigena,418561,afbc8e3b-350d-49b8-9619-bb2139ad6bbe
Amegilla albigena,418561,d78270b7-7bb5-479d-a495-2947d8a5a9ba
Amegilla albigena,418561,63d3bd7c-e90b-49bd-8941-ce87d3007744
Amegilla albigena,418561,7260e4b2-84dc-4520-b3ae-ad7e0276841a
Amegilla albigena,418561,94b50c10-0efd-435e-b619-d2a3b896df91
Amegilla albigena,418561,d776b981-ce87-4933-a888-c2765f7cd45f
Amegilla albigena,418561,2505f593-ca13-4081-b291-4a745fcf8fcc
Amegilla albigena,418561,f8185ca8-2320-41ca-83cb-1e76b65f81c4
Amegilla albigena,418561,85bf79f1-6995-4bd9-8e5c-5fb2accf4a97
Amegilla albigena,418561,f5749996-151f-49e5-84d1-f080a40e0905
Amegilla albigena,418561,c0388ce9-e8b7-41f1-a245-173b7dd3a777
Amegilla albigena,418561,a8c529d7-68ac-47e2-94fd-cbc505e26381
Amegilla albigena,418561,48915989-be50-4d4f-b077-cc916608d7ce
Amegilla albigena,418561,f54ea555-bda4-4003-b578-1870bdaf7782
Amegilla albigena,418561,7ef81525-070f-40eb-81ae-016ad972911f
Amegilla albigena,418561,d79eabaa-c0c9-4bdf-99c9-406552909e5b
Amegilla albigena,418561,b375bb22-812b-4d96-83dc-119a9d088463
