taxon_id,family,observation_uuid
483847,1068393,9876258e-2ff8-4ba3-ae99-126d2196d910
483847,1068393,641791d1-bf50-4525-ada6-91955d458d0d
483847,1068393,13b2d842-d3a5-4d6a-b028-2369d8b892fd
483847,1068393,30a71f6f-aae5-43fe-b4b1-d1e303394185
483847,1068393,48537d85-3b8c-4b37-a786-37671ecbe0f2
483847,1068393,07866a35-e2a7-492b-a37c-c0606f46e24a
483847,1068393,450ec6f6-841b-4a80-abe2-e32e49e634a0
453153,453156,3d2eb6bf-19e3-444e-bead-d87296cd62f3
453153,453156,158bbc60-5172-47a7-9461-960a101a5ab0
477149,453156,e2bf6ff6-82dd-4a29-9fa6-2163b6b992fb
477149,453156,bd6a23dc-3686-43ae-9258-85f5cfb2b95e
51149,51159,cf4116bf-d6c9-4a36-8bbb-d90589efb904
51149,51159,35aac6df-b0f7-40cf-a55b-b0c98c396297
51149,51159,03df59f4-a93e-4292-a28a-247290dcdbd8
51149,51159,013b55ea-0b3a-42ad-98e7-43f4fcb290ac
51149,51159,38f52d48-1cb8-40f1-8777-07fea690b35c
51149,51159,5336ea1c-10ed-45cd-9b5a-855608a839d7
51149,51159,f4428149-bad9-4c35-9e74-979a8018aa49
51149,51159,0abe5f88-9f65-422f-bedf-26f530c8b49f
51149,51159,0f133aa0-b850-4e2a-84a3-58c67f30dbd5
51149,51159,a07217e6-56c5-44dc-ae5b-9f429c00945e
51149,51159,eda7153d-6c73-429e-b5cc-aacc7aa08642
51149,51159,1a725afe-fa8e-4650-a762-e97eb25c72f1
51149,51159,87db5a0f-37fd-4487-a9ff-2d0049e658d2
51149,51159,4de1cdbd-1e7c-44e8-9ac2-52eeac05bc7c
51149,51159,c9998379-7fc1-4760-9de8-ca9e446c07c8
51149,51159,50826550-1b4e-4d58-923f-704be2634b3e
51149,51159,5ed1309d-4432-47f1-8ae7-4671a32ae31e
51149,51159,b4759051-fc3a-47db-bdc9-623805f33643
51149,51159,2e8856e4-2efb-4dd9-8f3e-771ce223c53b
51149,51159,a3a352ec-ed5c-410e-b498-5a075b816f75
51149,51159,2c7435de-8b30-4734-a16a-49f417443a1f
51149,51159,98bce901-00e6-4544-90f5-a742d660e7e5
51149,51159,e97d2e4c-f1e9-4be0-b9b5-5faee194a331
51149,51159,26bfb2a4-b96c-4c91-bbe5-ba4ec73a9b9c
51149,51159,2941f103-3b8a-42d1-a84f-c1d5ca6827e1
51149,51159,b1f100d5-0364-422c-988b-4c7c5a9409f9
51149,51159,710c7f2c-7ca5-4804-8826-ea047da81895
51149,51159,1647e0d9-0c55-4d04-9773-9c2be0ab4780
51149,51159,45e5f108-02df-49d6-bfc1-0e5b9fbcf038
51149,51159,2ee91e9a-199a-4e9b-a089-5dd1f5fca118
51149,51159,c3a50cdb-8ce5-4c35-ba5c-c4ac5d51191b
51149,51159,1ef2ca72-b170-4870-adf2-b003bbdf0759
51149,51159,5741808a-c1a2-4088-9734-b7b8d5a69f03
51149,51159,38f34f3a-b6f4-47bb-a7e5-b0940aa91a28
51149,51159,7336b3ff-b83a-4c5a-af01-e3980504ecb7
51149,51159,c3232b53-a6dc-40c8-97ef-c77ef4fff18d
51149,51159,95f44ec1-dcde-4779-a786-763f98348639
51149,51159,5d06d1e0-8c39-4150-8f34-6436de1af41c
51149,51159,9e0e3c26-0e7d-48d4-b7e6-e5e2dc02fd67
51149,51159,317667d5-9b24-4cc3-929f-834c8e936db5
51149,51159,09da92b0-9e6f-4437-b64f-b968a9451ea5
51149,51159,571fb362-a0ab-4878-9798-df30f0effad2
51149,51159,c1ef1a9f-23c8-468d-a41f-27b6a0e0c854
51149,51159,7e3fb4d3-d7e5-4385-ad54-8a2663735306
51149,51159,758bcc11-16ac-418d-9d2d-bbf42060e30f
51149,51159,36b9305e-4243-4ac9-b482-eaed6a98c504
51149,51159,f5d7225f-fd16-4a13-b488-0e90acacc966
